# Copyright (C) 2026 김은준
# SPDX-License-Identifier: GPL-3.0-or-later
evidence_id	version_code	commit	user_version	room_identity_hash	apk_sha256	evidence_kind
v1.0	1	7a8a539be413383e681ba5584d78de407ffefc1b	1	bfe6f39b547c7a6fe84d5b02f2c5abe9	unavailable	tag-source-generated
v1.0.1	2	8e8326ea02c02fefa669172b5eb4c4cbc0cf7477	1	bfe6f39b547c7a6fe84d5b02f2c5abe9	1a218c28dc388caa3f58cccf7cc07f8cacfe6f03ee794466a4d70b60606d5522	official-github-release-apk
v1.0.2	3	f89cc0ba26cba8d406432eebc6013200ca02f657	1	bfe6f39b547c7a6fe84d5b02f2c5abe9	429da681e5e5a4eba566b3dcd7babeab5075bc9425a27369b3b0eceb7c75792b	official-github-release-apk
v1.1.0	4	a6409dcb844648113e52353891fe83152604e4b4	1	bfe6f39b547c7a6fe84d5b02f2c5abe9	8924ab828e81712c3381053665fd7aa59361c14694323a010880d8b113261f47	official-github-release-apk
unreleased DB-v2 collision	4	2319a135b5fe35e38309c4f20972ca713996486a	2	945082520722243a5f8909570c86a7e6	unavailable	immutable-source-generated
v2.0.0	5	0a8cd8cfe4f1786d1e5075ff8438f397d2947140	1	bfe6f39b547c7a6fe84d5b02f2c5abe9	e144c1f77a18bbf0258cfb20eaabc9992d42b4249c7814febacee6c05053b9df	official-github-release-apk
v2.0.1	6	0380d1e6104dd9d50ceb46d57f8841bd128c53f7	1	bfe6f39b547c7a6fe84d5b02f2c5abe9	ff9e8dbdc233aa0868ba15ff41e9d1a87636228dd93e7f9c5c44c42557d58879	official-github-release-apk
v2.1.0	7	975a924ff54cffaff5c9800f0d727fc5cc019e19	2	9819c15e4402b0be9853ebb8602904f3	2f0a9251e4ba18cb99b3c1a3b6931a15103cb939d2bd613772cd5f5b5a3b5d57	official-github-release-apk
v2.2.0	8	5c7dbd01cf03780328854159094b42965a277de2	3	5c4a2ac04d88cccd72864d05e547b91f	9af236a09e18b5bbd146f7d01b77dc04e571d6a14a7071639a316d70213f0cc7	official-github-release-apk
v2.2.1	9	bdf51d7b4031a607427fa797b24412d331d1ae61	3	5c4a2ac04d88cccd72864d05e547b91f	3499ca52805e551cbadde60bec909133823550412ee98fc781ac9c360c88a9f5	official-github-release-apk
v2.2.2	10	69388806dbb902f9ac7249c8ad926186e6f0a9db	3	5c4a2ac04d88cccd72864d05e547b91f	d1d63df44c8bcc0789cd6eef9a93f5a6105a685ce1119c99f51bef7fd088c772	official-github-release-apk
v2.2.3	11	5e88e8e1b7601345e409f027a300af61c82d0c5d	3	5c4a2ac04d88cccd72864d05e547b91f	3c3bb865928d27115ed49d4f569419de7c155e42e9206dac38d106d05e2a3225	official-github-release-apk
v2.3.0	12	ce3cbd9743c10f42f6ebcd9b3c216947209c73e1	4	e3d36cf2832ffaf85f0b6c2355715106	56390be2996118e61ee657f2514007242a5c23b82fc8026e2671a07b2c69b5fb	official-github-release-apk
v2.4.0	13	4f553215088916697df80d239c5c7670558123aa	5	f1d9f0ed5f09fa336a662262656728b9	238905889f8a0053e242932d001b8e77e87d2e5a0c2a340ce1c60979500b1d27	official-github-release-apk
v2.4.1	14	147ea5c4ce4ea416a1d02975754cc12496e73433	5	f1d9f0ed5f09fa336a662262656728b9	ecd3943e6406fc574400817dcbf7c9460c58cfb35fa5f6e7e02f77ca9f753911	official-github-release-apk
